USD LIBOR,Overnight rate
Date,rf
3/1/05,2.57875
3/2/05,2.55
3/3/05,2.53625
3/4/05,2.535
3/7/05,2.54875
3/8/05,2.54625
3/9/05,2.5425
3/10/05,2.545
3/11/05,2.5475
3/14/05,2.57875
3/15/05,2.65625
3/16/05,2.5825
3/17/05,2.615
3/18/05,2.7275
3/21/05,2.78625
3/22/05,2.795
3/23/05,2.795
3/24/05,2.79375
3/25/05,.
3/28/05,.
3/29/05,2.82375
3/30/05,2.8475
3/31/05,2.91
4/1/05,2.84125
4/4/05,2.81125
4/5/05,2.8025
4/6/05,2.79125
4/7/05,2.78125
4/8/05,2.77875
4/11/05,2.8
4/12/05,2.7975
4/13/05,2.80625
4/14/05,2.81875
4/15/05,2.895
4/18/05,2.80625
4/19/05,2.79
4/20/05,2.77875
4/21/05,2.7825
4/22/05,2.785
4/25/05,2.80375
4/26/05,2.81625
4/27/05,2.85
4/28/05,2.9275
4/29/05,3.0425
5/2/05,.
5/3/05,3.05
5/4/05,3.04875
5/5/05,3.0425
5/6/05,3.03625
5/9/05,3.0425
5/10/05,3.04
5/11/05,3.03563
5/12/05,3.04
5/13/05,3.04125
5/16/05,3.11625
5/17/05,3.04375
5/18/05,3.04375
5/19/05,3.04125
5/20/05,3.04
5/23/05,3.04125
5/24/05,3.03875
5/25/05,3.04
5/26/05,3.04125
5/27/05,3.04625
5/30/05,.
5/31/05,3.10375
6/1/05,3.0675
6/2/05,3.05125
6/3/05,3.03875
6/6/05,3.045
6/7/05,3.04
6/8/05,3.03625
6/9/05,3.03375
6/10/05,3.03
6/13/05,3.0375
6/14/05,3.045
6/15/05,3.0875
6/16/05,3.04438
6/17/05,3.03625
6/20/05,3.04
6/21/05,3.04
6/22/05,3.04125
6/23/05,3.06625
6/24/05,3.1075
6/27/05,3.15625
6/28/05,3.2075
6/29/05,3.26625
6/30/05,3.42531
7/1/05,3.32875
7/4/05,.
7/5/05,3.30125
7/6/05,3.3
7/7/05,3.30143
7/8/05,3.29
7/11/05,3.29125
7/12/05,3.28813
7/13/05,3.29
7/14/05,3.295
7/15/05,3.32375
7/18/05,3.29688
7/19/05,3.28938
7/20/05,3.255
7/21/05,3.28
7/22/05,3.27875
7/25/05,3.28875
7/26/05,3.28625
7/27/05,3.29063
7/28/05,3.2925
7/29/05,3.36375
8/1/05,3.305
8/2/05,3.295
8/3/05,3.27563
8/4/05,3.3525
8/5/05,3.4575
8/8/05,3.54125
8/9/05,3.5475
8/10/05,3.5375
8/11/05,3.52625
8/12/05,3.525
8/15/05,3.5925
8/16/05,3.52813
8/17/05,3.51813
8/18/05,3.54125
8/19/05,3.5275
8/22/05,3.5375
8/23/05,3.54
8/24/05,3.53875
8/25/05,3.53875
8/26/05,3.555
8/29/05,.
8/30/05,3.59875
8/31/05,3.62
9/1/05,3.58375
9/2/05,3.53875
9/5/05,.
9/6/05,3.54625
9/7/05,3.54875
9/8/05,3.54063
9/9/05,3.53688
9/12/05,3.54875
9/13/05,3.54375
9/14/05,3.5475
9/15/05,3.7275
9/16/05,3.73625
9/19/05,3.75625
9/20/05,3.75313
9/21/05,3.77125
9/22/05,3.76625
9/23/05,3.765
9/26/05,3.78375
9/27/05,3.805
9/28/05,3.83125
9/29/05,3.84375
9/30/05,3.945
10/3/05,3.8525
10/4/05,3.80063
10/5/05,3.79125
10/6/05,3.79
10/7/05,3.785
10/10/05,.
10/11/05,3.80188
10/12/05,3.80125
10/13/05,3.7975
10/14/05,3.80188
10/17/05,3.84
10/18/05,3.79938
10/19/05,3.79375
10/20/05,3.78
10/21/05,3.77625
10/24/05,3.80125
10/25/05,3.79375
10/26/05,3.8175
10/27/05,3.8975
10/28/05,3.97375
10/31/05,4.0625
11/1/05,4.0625
11/2/05,4.05
11/3/05,4.035
11/4/05,4.03063
11/7/05,4.0425
11/8/05,4.04
11/9/05,4.03313
11/10/05,4.03375
11/11/05,.
11/14/05,4.04875
11/15/05,4.10438
11/16/05,4.03625
11/17/05,4.03375
11/18/05,4.02875
11/21/05,4.035
11/22/05,4.04
11/23/05,4.0425
11/24/05,.
11/25/05,4.04375
11/28/05,4.0525
11/29/05,4.05375
11/30/05,4.0775
12/1/05,4.05188
12/2/05,4.03563
12/5/05,4.0425
12/6/05,4.04375
12/7/05,4.04188
12/8/05,4.11
12/9/05,4.175
12/12/05,4.25313
12/13/05,4.26688
12/14/05,4.26875
12/15/05,4.35313
12/16/05,4.28375
12/19/05,4.2825
12/20/05,4.285
12/21/05,4.2875
12/22/05,4.295
12/23/05,4.29813
12/26/05,.
12/27/05,.
12/28/05,4.3125
12/29/05,4.32625
12/30/05,4.34125
1/2/06,.
1/3/06,4.325
1/4/06,4.31313
1/5/06,4.31
1/6/06,4.28875
1/9/06,4.30063
1/10/06,4.29625
1/11/06,4.29375
